City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,Abancay,-13.6339,-72.8814,56.7,88,19,3.2,PE,2022-10-14 04:22:26
191,Berlevag,70.8578,29.0864,39.15,87,75,6.91,NO,2022-10-14 04:26:24
192,Narsaq,60.9167,-46.05,26.82,66,0,8.08,GL,2022-10-14 04:26:25
193,Sterling,39.0062,-77.4286,55.4,91,100,11.99,US,2022-10-14 04:26:25
194,Petropavlovsk-Kamchatskiy,53.0452,158.6483,50.59,40,40,11.18,RU,2022-10-14 04:26:25
195,Hithadhoo,-0.6,73.0833,82.2,70,99,16.69,MV,2022-10-14 04:26:25
196,New Norfolk,-42.7826,147.0587,60.91,53,95,1.99,AU,2022-10-14 04:26:26
197,Warrnambool,-38.3833,142.4833,56.41,75,27,24.43,AU,2022-10-14 04:26:26
198,Imbituba,-28.24,-48.6703,71.85,99,100,6.55,BR,2022-10-14 04:26:27
199,Cockburn Town,21.4612,-71.1419,82.38,74,96,16.58,TC,2022-10-14 04:25:55
200,Husavik,66.0449,-17.3389,35.62,84,100,3.85,IS,2022-10-14 04:26:27
201,Tarata,-17.6167,-66.0167,58.42,64,52,8.3,BO,2022-10-14 04:26:28
202,College,64.8569,-147.8028,27.59,87,75,4.61,US,2022-10-14 04:26:28
203,Nanortalik,60.1432,-45.2371,30.15,64,0,6.71,GL,2022-10-14 04:26:28
204,Severo-Kurilsk,50.6789,156.125,48.9,80,59,11.36,RU,2022-10-14 04:23:59
205,Riyadh,24.6877,46.7219,73.54,33,0,4.81,SA,2022-10-14 04:24:29
206,Faanui,-16.4833,-151.75,79.18,71,10,8.7,PF,2022-10-14 04:26:29
207,Tombouctou,20.0,-3.0,85.53,13,11,7.56,ML,2022-10-14 04:26:29
208,Vardo,70.3705,31.1107,37.38,81,100,4.61,NO,2022-10-14 04:26:30
209,Sinnamary,5.3833,-52.95,77.72,90,100,7.14,GF,2022-10-14 04:26:30
210,Catamarca,-28.4696,-65.7852,62.78,21,0,8.01,AR,2022-10-14 04:26:31
211,Guerrero Negro,27.9769,-114.0611,68.65,82,20,16.24,MX,2022-10-14 04:26:31
212,Mar Del Plata,-38.0023,-57.5575,44.87,69,0,4.0,AR,2022-10-14 04:26:32
213,Wagar,16.1525,36.2032,81.59,56,3,5.26,SD,2022-10-14 04:26:32
214,Abilene,32.4487,-99.7331,61.93,49,0,3.44,US,2022-10-14 04:26:32
215,Marawi,7.9986,124.2928,85.26,54,65,5.01,PH,2022-10-14 04:26:33
216,Chernyshevskiy,63.0128,112.4714,28.62,84,100,8.19,RU,2022-10-14 04:26:33
217,Avarua,-21.2078,-159.775,77.05,83,100,8.05,CK,2022-10-14 04:26:34
218,Innisfail,-17.5333,146.0333,81.23,58,75,8.86,AU,2022-10-14 04:26:34
219,Ancud,-41.8697,-73.8203,46.62,96,100,6.13,CL,2022-10-14 04:23:31
220,Wenling,28.3669,121.36,74.91,60,38,14.45,CN,2022-10-14 04:26:35
221,Bathsheba,13.2167,-59.5167,81.21,78,20,12.66,BB,2022-10-14 04:26:35
222,Guaruja,-23.9931,-46.2564,70.9,26,41,1.01,BR,2022-10-14 04:23:39
223,Hvide Sande,56.0045,8.1294,48.09,74,17,3.91,DK,2022-10-14 04:26:35
224,Iracoubo,5.4802,-53.2011,76.89,91,100,7.02,GF,2022-10-14 04:26:36
225,Ponta Do Sol,32.6667,-17.1,72.01,74,51,5.14,PT,2022-10-14 04:26:36
226,Tiksi,71.6872,128.8694,21.99,91,98,7.27,RU,2022-10-14 04:26:37
227,Mankapur,27.0333,82.2333,79.56,64,0,3.69,IN,2022-10-14 04:27:37
228,Susanville,40.4163,-120.653,57.67,37,0,5.75,US,2022-10-14 04:27:37
229,Acapulco,16.8634,-99.8901,82.22,83,100,0.0,MX,2022-10-14 04:22:51
230,Lata,40.1629,-8.3327,61.81,92,27,2.93,PT,2022-10-14 04:27:38
231,Chabahar,25.2919,60.643,81.48,55,1,4.34,IR,2022-10-14 04:27:39
232,Beringovskiy,63.05,179.3167,29.88,64,88,4.59,RU,2022-10-14 04:27:39
233,Straumen,63.8709,11.2999,33.8,85,45,3.13,NO,2022-10-14 04:27:39
234,Sivas,39.7916,37.0019,39.83,93,40,4.61,TR,2022-10-14 04:27:40
235,Alyangula,-13.8483,136.4192,80.47,78,75,5.75,AU,2022-10-14 04:27:40
236,Odda,60.0691,6.5457,40.77,92,71,5.5,NO,2022-10-14 04:27:41
237,Ormara,25.2088,64.6357,79.11,54,0,2.15,PK,2022-10-14 04:27:41
238,Salvador,13.8333,-88.9167,73.06,97,87,0.51,SV,2022-10-14 04:27:41
239,Lagoa,39.05,-27.9833,70.2,84,18,17.38,PT,2022-10-14 04:27:42
240,Avera,33.194,-82.5271,60.31,62,1,8.57,US,2022-10-14 04:27:43
241,Hualmay,-11.0964,-77.6139,60.01,83,30,10.42,PE,2022-10-14 04:27:43
242,Sinjar,36.3209,41.8754,70.3,29,28,6.93,IQ,2022-10-14 04:27:44
243,Los Llanos De Aridane,28.6585,-17.9182,69.55,79,40,13.8,ES,2022-10-14 04:27:44
244,Peruibe,-24.32,-46.9983,67.21,95,85,2.53,BR,2022-10-14 04:27:45
245,Bojnurd,37.4747,57.329,51.75,62,0,0.0,IR,2022-10-14 04:27:45
246,Skelleftea,64.7507,20.9528,45.0,100,100,5.75,SE,2022-10-14 04:27:45
247,Chapais,49.7834,-74.8492,49.78,94,100,5.95,CA,2022-10-14 04:27:46
248,Sayat,38.7839,63.8803,66.07,33,63,6.42,TM,2022-10-14 04:27:46
249,Iranshahr,27.2025,60.6848,77.34,12,0,6.91,IR,2022-10-14 04:27:47
250,Okhotsk,59.3833,143.3,33.94,47,100,8.34,RU,2022-10-14 04:27:47
251,Puerto Suarez,-18.95,-57.8,71.01,98,98,3.27,BO,2022-10-14 04:27:47
252,Salalah,17.0151,54.0924,78.89,73,20,1.14,OM,2022-10-14 04:27:48
253,Maumere,-8.6199,122.2111,84.09,68,42,1.9,ID,2022-10-14 04:27:48
254,Okato,-39.2,173.8833,62.91,100,82,5.77,NZ,2022-10-14 04:27:49
255,Kestel,40.1983,29.2124,49.48,89,92,5.68,TR,2022-10-14 04:27:49
256,La Ronge,55.1001,-105.2842,35.85,55,0,13.8,CA,2022-10-14 04:27:50
257,Lavrentiya,65.5833,-171.0,26.76,60,18,3.31,RU,2022-10-14 04:27:50
258,Sao Caetano De Odivelas,-0.75,-48.02,75.6,95,70,6.53,BR,2022-10-14 04:27:50
259,Dunhua,43.3725,128.2425,56.19,57,100,4.54,CN,2022-10-14 04:27:51
260,Fortuna,40.5982,-124.1573,52.36,87,7,3.31,US,2022-10-14 04:27:52
261,Isangel,-19.55,169.2667,80.71,74,40,11.5,VU,2022-10-14 04:27:52
262,Vientiane,17.9667,102.6,84.15,61,75,6.91,LA,2022-10-14 04:27:52
263,Ketchikan,55.3422,-131.6461,54.07,100,100,17.27,US,2022-10-14 04:27:53
264,Gorontalo,0.5412,123.0595,88.95,58,100,5.88,ID,2022-10-14 04:27:53
265,Katsuura,35.1333,140.3,67.33,89,99,21.65,JP,2022-10-14 04:27:54
266,Manado,1.487,124.8455,92.17,58,40,5.75,ID,2022-10-14 04:27:54
267,Flin Flon,54.7682,-101.865,32.25,88,100,13.94,CA,2022-10-14 04:27:55
268,Juegang,32.3174,121.1855,73.98,60,9,11.23,CN,2022-10-14 04:27:55
269,Matay,28.419,30.7792,65.61,79,0,7.65,EG,2022-10-14 04:27:56
270,Lakes Entrance,-37.8811,147.981,69.17,45,75,16.53,AU,2022-10-14 04:27:56
271,Serdobsk,52.4586,44.2169,39.52,83,63,6.38,RU,2022-10-14 04:27:56
272,Diego De Almagro,-26.3667,-70.05,59.29,28,0,2.75,CL,2022-10-14 04:27:57
273,Mezen,65.8522,44.24,35.22,87,96,8.63,RU,2022-10-14 04:27:57
274,Hervey Bay,-25.2986,152.8535,72.82,68,76,10.87,AU,2022-10-14 04:28:58
275,Airai,-8.9266,125.4092,77.74,46,48,1.81,TL,2022-10-14 04:28:58
276,Kapuskasing,49.4169,-82.4331,39.2,100,75,5.75,CA,2022-10-14 04:28:58
277,Ulaangom,49.9811,92.0667,43.23,40,0,4.94,MN,2022-10-14 04:28:59
278,Obihiro,42.9172,143.2044,63.81,72,98,3.42,JP,2022-10-14 04:28:59
279,Lavumisa,-27.31,31.892,71.96,83,7,4.21,SZ,2022-10-14 04:29:00
280,Turayf,31.6725,38.6637,57.45,88,0,8.05,SA,2022-10-14 04:29:00
281,Codrington,-38.2667,141.9667,57.69,71,15,21.92,AU,2022-10-14 04:29:00
282,Aykhal,66.0,111.5,18.61,93,81,7.36,RU,2022-10-14 04:29:01
283,Palafrugell,41.9174,3.1631,62.89,77,93,1.97,ES,2022-10-14 04:29:01
284,Teya,60.3778,92.6267,35.46,72,97,5.1,RU,2022-10-14 04:29:02
285,Abu Dhabi,24.4667,54.3667,81.97,46,0,6.91,AE,2022-10-14 04:27:56
286,Tiznit,29.5833,-9.5,69.73,32,0,5.06,MA,2022-10-14 04:29:02
287,Ambilobe,-13.2,49.05,73.81,57,1,4.47,MG,2022-10-14 04:29:02
288,Muroto,33.2833,134.15,73.33,69,0,12.48,JP,2022-10-14 04:29:03
289,Yashan,22.1975,109.9419,81.16,38,15,11.07,CN,2022-10-14 04:29:03
290,Koumac,-20.5667,164.2833,76.32,59,23,8.72,NC,2022-10-14 04:29:04
291,Honghu,29.8206,113.4621,73.24,39,2,7.56,CN,2022-10-14 04:29:04
292,Atagay,55.1033,99.3875,35.4,92,100,7.78,RU,2022-10-14 04:29:05
293,Kurchum,48.5722,83.6542,54.14,27,48,1.66,KZ,2022-10-14 04:29:06
294,Taoudenni,22.6783,-3.9836,85.98,14,91,9.31,ML,2022-10-14 04:29:07
295,Alice,27.7523,-98.0697,78.37,91,20,6.91,US,2022-10-14 04:29:07
296,Santiago Del Estero,-27.7951,-64.2615,64.27,20,33,11.86,AR,2022-10-14 04:29:07
297,Marsa Matruh,31.3525,27.2453,66.4,77,40,3.44,EG,2022-10-14 04:29:08
298,Preston,53.7667,-2.7167,54.86,93,100,7.0,GB,2022-10-14 04:26:07
299,Sorland,67.667,12.6934,46.26,64,50,13.11,NO,2022-10-14 04:29:08
300,Dashitou,43.3067,128.5114,55.96,57,100,4.81,CN,2022-10-14 04:29:09
301,Mantua,45.1667,10.7833,56.44,86,11,2.37,IT,2022-10-14 04:29:09
302,Bayir,37.2687,28.2167,48.72,76,87,2.04,TR,2022-10-14 04:29:10
303,Hambantota,6.1241,81.1185,88.14,70,40,13.8,LK,2022-10-14 04:29:10
304,Panzhihua,26.5851,101.7128,65.44,86,100,3.96,CN,2022-10-14 04:29:10
305,Crotone,39.0851,17.1178,64.18,83,95,19.77,IT,2022-10-14 04:29:11
306,Opotiki,-38.0833,177.2833,59.38,64,100,11.3,NZ,2022-10-14 04:29:12
307,Tuatapere,-46.1333,167.6833,60.93,50,0,6.73,NZ,2022-10-14 04:29:13
308,Bambanglipuro,-7.95,110.2833,80.42,76,96,9.19,ID,2022-10-14 04:29:13
309,Pimenta Bueno,-11.6725,-61.1936,70.74,94,77,2.57,BR,2022-10-14 04:29:13
310,Gourcy,13.2167,-2.35,79.03,49,24,8.14,BF,2022-10-14 04:29:13
311,Nouadhibou,20.931,-17.0347,70.11,83,39,18.86,MR,2022-10-14 04:29:14
312,Deltona,28.9005,-81.2637,77.22,90,0,5.75,US,2022-10-14 04:24:46
313,Yatou,37.15,122.3833,67.05,53,92,3.06,CN,2022-10-14 04:29:15
314,Tanggulangin,-7.4996,112.6999,87.76,74,20,6.91,ID,2022-10-14 04:29:15
315,Viransehir,37.2353,39.7631,69.03,36,99,8.28,TR,2022-10-14 04:29:16
316,Moctezuma,29.8,-109.6667,77.05,41,100,1.41,MX,2022-10-14 04:29:16
317,Iquitos,-3.7481,-73.2472,75.24,88,75,3.44,PE,2022-10-14 04:25:06
318,Khatanga,71.9667,102.5,14.72,95,100,12.01,RU,2022-10-14 04:29:17
319,Halifax,44.6453,-63.5724,57.22,94,88,5.75,CA,2022-10-14 04:29:17
320,Genhe,50.7833,121.5167,51.71,31,100,6.42,CN,2022-10-14 04:29:18
321,Najran,17.4924,44.1277,61.45,15,81,2.64,SA,2022-10-14 04:26:33
322,Nawa,27.0167,75.0,83.34,30,0,3.67,IN,2022-10-14 04:30:18
323,Portland,45.5234,-122.6762,73.09,58,0,3.44,US,2022-10-14 04:30:19
324,Bima,-8.4667,118.7167,87.28,62,40,1.63,ID,2022-10-14 04:30:19
325,Umm Kaddadah,13.6017,26.6876,79.77,25,7,19.86,SD,2022-10-14 04:30:20
326,San Isidro,-12.1167,-77.05,58.59,77,100,6.91,PE,2022-10-14 04:30:20
327,Gharghoda,22.1667,83.35,83.7,65,6,6.62,IN,2022-10-14 04:30:21
328,Cruzeiro Do Sul,-29.5128,-51.9853,62.53,81,100,7.43,BR,2022-10-14 04:28:13
329,Correntina,-13.3433,-44.6367,69.31,47,6,4.88,BR,2022-10-14 04:30:21
330,Broome,42.2506,-75.833,52.7,84,100,11.5,US,2022-10-14 04:30:22
331,Jiuquan,39.7432,98.5174,58.95,18,49,4.29,CN,2022-10-14 04:30:22
332,Leeton,-34.5667,146.4,65.89,55,65,14.76,AU,2022-10-14 04:30:23
333,Saldanha,-33.0117,17.9442,48.25,91,99,8.86,ZA,2022-10-14 04:30:23
334,Saint-Georges,12.0564,-61.7485,80.28,83,40,8.05,GD,2022-10-14 04:30:23
335,Gravdal,68.1214,13.5031,39.09,100,40,1.14,NO,2022-10-14 04:30:24
336,Port Lincoln,-34.7333,135.8667,59.88,61,88,16.22,AU,2022-10-14 04:30:24
337,Mehamn,71.0357,27.8492,39.11,100,75,4.61,NO,2022-10-14 04:30:25
338,Karratha,-20.7377,116.8463,84.56,20,13,13.38,AU,2022-10-14 04:30:25
339,Campbellsville,37.3434,-85.3419,46.51,64,7,5.1,US,2022-10-14 04:30:26
340,Sungurlu,40.1675,34.3739,50.74,79,78,3.89,TR,2022-10-14 04:30:26
341,Brae,60.3964,-1.353,49.33,79,88,27.87,GB,2022-10-14 04:30:26
342,Praia,14.9215,-23.5087,77.54,88,20,14.97,CV,2022-10-14 04:30:27
343,Tabou,4.423,-7.3528,75.85,89,87,4.99,CI,2022-10-14 04:30:27
344,Puro,12.4841,123.3827,77.43,92,100,7.14,PH,2022-10-14 04:30:28
345,Mbini,1.574,9.6134,76.84,93,100,0.56,GQ,2022-10-14 04:30:29
346,Lompoc,34.6391,-120.4579,59.52,90,100,6.91,US,2022-10-14 04:30:29
347,Xingyi,24.1877,102.817,59.94,85,100,4.03,CN,2022-10-14 04:30:30
348,Mikkeli,61.6886,27.2723,48.31,93,0,6.91,FI,2022-10-14 04:30:30
349,Leningradskiy,69.3833,178.4167,17.31,71,91,6.73,RU,2022-10-14 04:30:30
350,Kuytun,54.3419,101.5036,36.07,76,100,10.16,RU,2022-10-14 04:30:31
351,Maniitsoq,65.4167,-52.9,24.91,66,5,6.8,GL,2022-10-14 04:30:31
352,Carauari,-4.8828,-66.8958,73.69,96,100,2.55,BR,2022-10-14 04:30:32
353,Moa,20.6569,-74.9403,77.68,86,100,4.21,CU,2022-10-14 04:30:32
354,Tarauaca,-8.1614,-70.7656,71.46,99,75,1.52,BR,2022-10-14 04:30:32
355,Kiama,-34.6833,150.8667,74.37,48,2,18.01,AU,2022-10-14 04:30:33
356,Saint Anthony,45.0205,-93.218,38.35,71,40,11.5,US,2022-10-14 04:30:33
357,Dunedin,-45.8742,170.5036,53.8,71,1,4.0,NZ,2022-10-14 04:30:34
358,Henties Bay,-22.116,14.2845,56.7,94,87,4.88,NA,2022-10-14 04:30:34
359,Sarahan,31.5167,77.8,61.66,39,0,5.28,IN,2022-10-14 04:30:35
360,Tambura,5.6,27.4667,71.92,88,81,2.8,SS,2022-10-14 04:30:35
361,Yeppoon,-23.1333,150.7333,85.78,67,79,11.5,AU,2022-10-14 04:30:36
362,Kholtoson,50.2981,103.3097,36.23,39,57,5.3,RU,2022-10-14 04:30:36
363,Oistins,13.0667,-59.5333,80.69,78,20,12.66,BB,2022-10-14 04:30:37
364,Srednekolymsk,67.45,153.6833,15.98,91,100,5.41,RU,2022-10-14 04:30:37
365,Kot Diji,27.3427,68.7083,80.62,15,0,2.06,PK,2022-10-14 04:30:38
366,Meulaboh,4.1363,96.1285,84.33,64,58,3.89,ID,2022-10-14 04:30:38
367,Melfi,40.9965,15.6514,54.21,91,85,3.65,IT,2022-10-14 04:30:39
368,Cortez,37.3489,-108.5859,52.7,45,0,4.61,US,2022-10-14 04:30:39
369,Sistranda,63.7256,8.834,40.96,77,83,13.44,NO,2022-10-14 04:31:39
370,Xihe,31.6864,113.4659,75.24,29,8,9.86,CN,2022-10-14 04:31:40
371,Pangnirtung,66.1451,-65.7125,22.62,55,45,4.59,CA,2022-10-14 04:31:40
372,Ayan,56.45,138.1667,45.81,56,39,4.85,RU,2022-10-14 04:31:40
373,Sarrebourg,48.7333,7.05,54.21,93,99,4.52,FR,2022-10-14 04:31:41
374,Bilibino,68.0546,166.4372,1.31,89,67,3.22,RU,2022-10-14 04:31:41
375,Ban Chang,12.7254,101.0553,88.48,55,20,11.5,TH,2022-10-14 04:31:42
376,Ilulissat,69.2167,-51.1,24.82,93,100,1.14,GL,2022-10-14 04:31:42
377,Dongsheng,39.8161,109.9776,56.73,27,1,12.91,CN,2022-10-14 04:31:43
378,Yabelo,4.8833,38.0833,60.96,77,83,11.07,ET,2022-10-14 04:31:43
379,Mayahi,13.9553,7.6712,80.56,52,37,5.44,NE,2022-10-14 04:31:44
380,Paidha,2.4167,30.9855,66.38,81,76,1.66,UG,2022-10-14 04:31:44
381,Tongren,27.7172,109.1853,78.82,25,2,6.46,CN,2022-10-14 04:31:44
